MeasurementDate	metric	metrictype	Agency	numerator	denominator
2015-03-18	TripsPerformed	Dollars	ND2	0.00	90.00
2015-10-02	TripsPerformed	Dollars	SR3	0.00	390.00
2015-07-21	TripsPerformed	Dollars	CR5	138.00	138.00
2015-04-23	TripsPerformed	Dollars	MP1	0.00	314.00
2015-11-02	TripsPerformed	Dollars	LOG	7977.22	8003.97
2015-02-19	TripsPerformed	Dollars	MR4	57.00	57.00
2015-09-06	TripsPerformed	Dollars	LOG	456.50	456.50
2014-10-21	TripsPerformed	Dollars	LOG	175.20	8754.13
2015-01-29	TripsPerformed	Dollars	FA1	114.00	114.00
2015-11-19	TripsPerformed	Dollars	PB1	0.00	180.00
2015-01-11	TripsPerformed	Dollars	LE2	0.00	179.95
2015-03-10	TripsPerformed	Dollars	PB1	0.00	394.00
2015-11-20	TripsPerformed	Dollars	MP1	0.00	154.00
2015-09-10	TripsPerformed	Dollars	SE2	546.00	546.00
2015-02-07	TripsPerformed	Dollars	LOG	869.14	1013.10
2015-05-15	TripsPerformed	Dollars	BR7	0.00	27.40
2015-10-19	TripsPerformed	Dollars	BR7	114.00	220.00
2015-09-10	TripsPerformed	Dollars	CDR	205.50	414.75
2015-10-29	TripsPerformed	Dollars	ND2	106.00	188.00
2015-11-14	TripsPerformed	Dollars	PVT	0.00	111.25
2015-03-24	TripsPerformed	Dollars	CDS	741.50	741.50
2015-03-05	TripsPerformed	Dollars	SY4	0.00	444.00
2015-05-07	TripsPerformed	Dollars	SK2	77.00	77.00
2015-03-24	TripsPerformed	Dollars	MID	432.85	432.85
2015-10-26	TripsPerformed	Dollars	CDS	0.00	44.50
2015-01-26	TripsPerformed	Dollars	MID	331.86	331.86
2015-04-19	TripsPerformed	Dollars	PVT	0.00	45.00
2015-09-15	TripsPerformed	Dollars	SE2	432.00	432.00
2015-05-29	TripsPerformed	Dollars	CDP	29.00	29.00
2015-02-05	TripsPerformed	Dollars	ND2	0.00	106.00
2015-02-21	TripsPerformed	Dollars	PVT	45.00	362.00
2015-02-13	TripsPerformed	Dollars	SE2	90.00	180.00
2015-03-21	TripsPerformed	Dollars	KE3	138.00	138.00
2015-07-01	TripsPerformed	Dollars	SR3	251.00	251.00
2015-06-15	TripsPerformed	Dollars	PVT	163.00	1151.00
2015-05-05	TripsPerformed	Dollars	SR3	162.00	162.00
2015-10-09	TripsPerformed	Dollars	SR3	0.00	366.00
2015-07-16	TripsPerformed	Dollars	LOG	10014.92	11057.83
2014-10-02	TripsPerformed	Dollars	TL1	323.30	323.30
2015-05-24	TripsPerformed	Dollars	MRC	41.45	41.45
2015-10-24	TripsPerformed	Dollars	LOG	1262.96	1262.96
2015-01-18	TripsPerformed	Dollars	LE2	0.00	74.70
2014-11-04	TripsPerformed	Dollars	PVT	837.00	1039.00
2015-05-08	TripsPerformed	Dollars	MID	243.96	243.96
2015-05-04	TripsPerformed	Dollars	HE6	210.00	210.00
2014-11-10	TripsPerformed	Dollars	SE2	318.00	318.00
2015-04-29	TripsPerformed	Dollars	PB1	402.00	402.00
2015-05-26	TripsPerformed	Dollars	CDR	894.50	942.00
2015-10-30	TripsPerformed	Dollars	CDR	0.00	1277.25
2015-09-25	TripsPerformed	Dollars	PVT	600.00	1180.00
2014-12-23	TripsPerformed	Dollars	SE2	171.00	171.00
2015-01-09	TripsPerformed	Dollars	LE2	0.00	124.00
2014-10-27	TripsPerformed	Dollars	SE2	106.00	106.00
2015-04-02	TripsPerformed	Dollars	SE2	98.00	98.00
2015-01-23	TripsPerformed	Dollars	SR3	204.00	204.00
2015-06-29	TripsPerformed	Dollars	SR3	114.00	114.00
2015-08-27	TripsPerformed	Dollars	KE3	138.00	138.00
2015-06-20	TripsPerformed	Dollars	SY4	106.00	106.00
2015-07-03	TripsPerformed	Dollars	WC1	41.00	41.00
2014-12-19	TripsPerformed	Dollars	LOG	8036.43	8567.87
2015-07-09	TripsPerformed	Dollars	CDS	243.50	243.50
2015-10-19	TripsPerformed	Dollars	CDS	0.00	177.20
2015-02-02	TripsPerformed	Dollars	MID	80.35	80.35
2015-01-02	TripsPerformed	Dollars	PVT	351.70	614.70
2015-06-24	TripsPerformed	Dollars	WC1	196.00	196.00
2015-11-25	TripsPerformed	Dollars	MP1	0.00	NULL
2015-04-28	TripsPerformed	Dollars	WC1	98.00	98.00
2015-10-23	TripsPerformed	Dollars	CDR	0.00	1103.00
2015-07-08	TripsPerformed	Dollars	SR3	114.00	114.00
2015-07-09	TripsPerformed	Dollars	LOG	9962.24	10414.91
2015-01-04	TripsPerformed	Dollars	LE2	0.00	110.00
2015-08-04	TripsPerformed	Dollars	PVT	544.00	1283.00
2015-07-15	TripsPerformed	Dollars	BR3	0.00	178.00
2015-09-24	TripsPerformed	Dollars	SE2	472.00	472.00
2015-11-17	TripsPerformed	Dollars	CDR	0.00	1198.00
2015-02-18	TripsPerformed	Dollars	LOG	8750.54	9938.99
2015-07-25	TripsPerformed	Dollars	LOG	1334.18	1396.68
2015-03-18	TripsPerformed	Dollars	WC1	167.00	167.00
2015-04-16	TripsPerformed	Dollars	CDS	664.50	664.50
2015-10-02	TripsPerformed	Dollars	SY4	0.00	114.00
2015-04-06	TripsPerformed	Dollars	CDR	110.00	110.00
2015-06-02	TripsPerformed	Dollars	CDR	531.00	531.00
2015-07-10	TripsPerformed	Dollars	WC1	41.00	246.00
2015-08-26	TripsPerformed	Dollars	MP1	0.00	154.00
2015-10-17	TripsPerformed	Dollars	SR1	0.00	82.00
2015-04-28	TripsPerformed	Dollars	PVT	404.00	740.15
2015-04-02	TripsPerformed	Dollars	TL1	0.00	55.50
2015-09-16	TripsPerformed	Dollars	ND2	226.00	226.00
2014-11-19	TripsPerformed	Dollars	SE2	236.00	236.00
2014-12-02	TripsPerformed	Dollars	PB1	162.00	162.00
2015-05-26	TripsPerformed	Dollars	KE3	0.00	207.00
2015-03-16	TripsPerformed	Dollars	PVT	719.00	976.00
2014-10-10	TripsPerformed	Dollars	FAC	285.00	285.00
2014-11-20	TripsPerformed	Dollars	MR5	258.00	258.00
2015-10-21	TripsPerformed	Dollars	PB1	0.00	154.00
2015-01-09	TripsPerformed	Dollars	PVT	733.00	1046.00
2015-07-27	TripsPerformed	Dollars	CDS	63.00	63.00
2015-09-04	TripsPerformed	Dollars	SG2	0.00	45.00
2015-08-25	TripsPerformed	Dollars	PB1	268.00	268.00
2015-02-09	TripsPerformed	Dollars	LOG	4269.58	4701.89
2015-11-18	TripsPerformed	Dollars	CDS	0.00	229.50
2015-04-09	TripsPerformed	Dollars	LOG	8123.44	8931.55
2015-09-13	TripsPerformed	Dollars	LOG	186.50	277.50
2015-06-05	TripsPerformed	Dollars	LOG	9483.82	10585.59
2015-11-09	TripsPerformed	Dollars	LOG	7794.42	7794.42
2015-07-22	TripsPerformed	Dollars	SE2	98.00	98.00
2015-07-14	TripsPerformed	Dollars	ND2	0.00	122.00
2015-11-18	TripsPerformed	Dollars	LOG	8124.54	8153.40
2015-01-21	TripsPerformed	Dollars	SR3	586.00	586.00
2015-04-09	TripsPerformed	Dollars	SR5	0.00	106.00
2015-06-18	TripsPerformed	Dollars	LOG	10469.22	11143.25
2015-08-18	TripsPerformed	Dollars	SE2	954.00	954.00
2014-11-14	TripsPerformed	Dollars	PVT	646.75	995.75
2015-09-15	TripsPerformed	Dollars	SR1	0.00	82.00
2015-03-27	TripsPerformed	Dollars	LOG	7282.12	8580.66
2015-09-21	TripsPerformed	Dollars	BR7	106.00	106.00
2015-11-17	TripsPerformed	Dollars	PVT	0.00	781.00
2015-07-05	TripsPerformed	Dollars	LOG	496.24	883.24
2015-08-13	TripsPerformed	Dollars	SK2	218.00	218.00
2015-06-05	TripsPerformed	Dollars	CDR	717.50	717.50
2015-07-14	TripsPerformed	Dollars	BR7	106.00	106.00
2015-08-26	TripsPerformed	Dollars	PVT	635.00	741.00
2014-11-06	TripsPerformed	Dollars	SE2	106.00	106.00
2015-06-22	TripsPerformed	Dollars	CDR	256.50	256.50
2015-07-18	TripsPerformed	Dollars	SE2	106.00	106.00
2015-03-23	TripsPerformed	Dollars	ND2	98.00	212.00
2015-05-18	TripsPerformed	Dollars	PVT	114.00	997.35
2015-06-03	TripsPerformed	Dollars	WC1	114.00	114.00
2015-03-09	TripsPerformed	Dollars	MP1	0.00	106.00
2015-04-01	TripsPerformed	Dollars	PB1	146.00	146.00
2015-01-19	TripsPerformed	Dollars	SR3	98.00	98.00
2015-02-11	TripsPerformed	Dollars	SR1	314.00	314.00
2015-04-13	TripsPerformed	Dollars	CR5	106.00	106.00
2014-12-12	TripsPerformed	Dollars	SE2	560.00	560.00
2014-12-03	TripsPerformed	Dollars	PVT	524.00	747.50
2015-04-02	TripsPerformed	Dollars	CDR	118.50	118.50
2015-01-02	TripsPerformed	Dollars	SR3	98.00	98.00
2015-02-03	TripsPerformed	Dollars	LOG	7267.97	8252.44
2015-03-05	TripsPerformed	Dollars	SE2	45.00	45.00
2015-07-19	TripsPerformed	Dollars	LOG	970.82	995.06
2015-01-14	TripsPerformed	Dollars	LE2	0.00	42.95
2015-02-04	TripsPerformed	Dollars	BR3	178.00	178.00
2015-04-29	TripsPerformed	Dollars	MR5	0.00	114.00
2015-06-06	TripsPerformed	Dollars	KE3	0.00	138.00
2015-02-16	TripsPerformed	Dollars	SE2	94.00	94.00
2015-02-16	TripsPerformed	Dollars	MRC	0.00	45.00
2015-01-02	TripsPerformed	Dollars	WC1	45.00	45.00
2015-05-27	TripsPerformed	Dollars	SE2	212.00	318.00
2015-09-21	TripsPerformed	Dollars	TL1	0.00	100.12
2014-11-05	TripsPerformed	Dollars	FE4	0.00	178.00
2014-11-14	TripsPerformed	Dollars	MR5	403.00	403.00
2015-09-14	TripsPerformed	Dollars	PVT	224.00	802.00
2015-09-25	TripsPerformed	Dollars	BR3	0.00	186.00
2015-09-28	TripsPerformed	Dollars	PVT	710.00	1086.00
2015-03-09	TripsPerformed	Dollars	BR3	0.00	170.00
2015-08-11	TripsPerformed	Dollars	CDR	199.00	441.00
2015-06-23	TripsPerformed	Dollars	MID	501.36	501.36
2015-04-14	TripsPerformed	Dollars	WC1	98.00	98.00
2015-06-06	TripsPerformed	Dollars	MR4	24.80	24.80
2015-10-26	TripsPerformed	Dollars	MRC	0.00	72.90
2015-03-20	TripsPerformed	Dollars	BR7	0.00	53.00
2015-11-17	TripsPerformed	Dollars	LOG	9593.24	9723.55
2015-03-08	TripsPerformed	Dollars	LOG	445.00	714.88
2015-01-22	TripsPerformed	Dollars	PVT	631.35	887.35
2015-03-10	TripsPerformed	Dollars	SR3	252.00	252.00
2015-03-17	TripsPerformed	Dollars	KE3	138.00	138.00
2015-05-26	TripsPerformed	Dollars	ND2	122.00	122.00
2014-10-06	TripsPerformed	Dollars	SE2	138.00	138.00
2015-03-04	TripsPerformed	Dollars	ND2	90.00	90.00
